Ano,Mes,Dia,CANTIDAD MEDUSAS,PRECIPITACION,TEMP MAR,DIRECCION VIENTO,GRADOS VIENTO,HUMEDAD,OLAS,TEMP AIRE,VEL. VIENTO
2021,junio,16,0,0,19,NNE,27,87,0.8,20,14
2021,junio,17,0,0,19,WNW,299,87,0.2,18,26
2021,junio,18,0,0,19,NNW,329,87,0.2,19,13
2021,junio,19,0,36,19,NNE,28,99,0.3,18,10
2021,junio,20,10,3,19,W,280,81,0.5,17,19
2021,junio,21,0,0,19,NW,308,59,0.5,18,17
2021,junio,22,0,0,19,NW,321,84,0.5,18,17
2021,junio,23,0,10,19,WNW,296,91,0.8,16,27
2021,junio,24,0,0,19,NNW,345,75,0.4,18,10
2021,junio,25,20,0,19,N,9,76,0.5,18,9
2021,junio,26,0,0,19,ENE,60,46,0.5,24,18
2021,junio,27,0,0,19,NNW,332,88,0.7,17,11
2021,junio,28,30,0,19,NW,312,78,1.8,17,24
2021,junio,29,0,0,19,WNW,297,81,1.3,17,24
2021,junio,30,100,0,19,NE,40,82,0.3,18,14
2021,julio,1,0,0,19,ENE,58,72,0.2,22,20
2021,julio,2,0,0,19,N,353,79,0.3,21,9
2021,julio,3,0,0,19,NW,318,84,0.2,20,15
2021,julio,4,100,0,19,N,2,81,0.2,18,8
2021,julio,5,0,0,19,NE,43,54,0.5,23,16
2021,julio,6,0,0,19,WNW,303,78,0.5,17,16
2021,julio,7,0,0,19,NW,317,68,0.6,18,14
2021,julio,8,150,0,19,NW,321,76,0.5,18,15
2021,julio,9,0,0,19,NNW,343,79,0.5,18,13
2021,julio,10,0,0,19,NE,49,69,0.4,21,18
2021,julio,11,0,2,20,NW,312,72,0.6,22,10
2021,julio,12,0,0,20,NW,304,68,1.4,18,23
2021,julio,13,0,3,20,WNW,297,90,1.5,16,17
2021,julio,14,50,0,20,NW,311,77,1,18,20
2021,julio,15,0,0,20,NW,315,81,0.5,18,19
2021,julio,16,0,0,20,NNW,343,87,0.4,19,11
2021,julio,17,0,0,20,NE,48,83,0.4,21,17
2021,julio,18,0,0,20,ENE,63,53,0.2,25,19
2021,julio,19,0,0,20,NE,47,73,0.2,22,14
2021,julio,20,0,0,20,ENE,62,58,0.2,25,9
2021,julio,21,0,0,20,NE,45,67,0.1,25,15
2021,julio,22,0,3,22,ESE,108,49,0.2,27,6
2021,julio,23,0,1,22,NW,304,85,0.5,21,17
2021,julio,24,40,0,22,WNW,302,68,0.5,21,21
2021,julio,25,0,0,22,WNW,298,68,0.6,21,26
